run_accession	sample_accession	fastq_ftp	fastq_bytes	library_name
SRR31465493	SAMN45004452	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/093/SRR31465493/SRR31465493_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/093/SRR31465493/SRR31465493_2.fastq.gz	34373286;37817875	81_S81_L001
SRR31465497	SAMN45004449	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/097/SRR31465497/SRR31465497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/097/SRR31465497/SRR31465497_2.fastq.gz	30037236;34262220	78_S78_L001
SRR31465498	SAMN45004448	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/098/SRR31465498/SRR31465498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/098/SRR31465498/SRR31465498_2.fastq.gz	30691938;33637009	77_S77_L001
SRR31465500	SAMN45004446	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/000/SRR31465500/SRR31465500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/000/SRR31465500/SRR31465500_2.fastq.gz	34940497;37875485	75_S75_L001
SRR31465502	SAMN45004444	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/002/SRR31465502/SRR31465502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/002/SRR31465502/SRR31465502_2.fastq.gz	25939012;28220391	73_S73_L001
SRR31465417	SAMN45004437	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/017/SRR31465417/SRR31465417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/017/SRR31465417/SRR31465417_2.fastq.gz	40449785;47271587	66_S66_L001
SRR31465420	SAMN45004434	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/020/SRR31465420/SRR31465420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/020/SRR31465420/SRR31465420_2.fastq.gz	35586502;40661752	63_S63_L001
SRR31465422	SAMN45004432	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/022/SRR31465422/SRR31465422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/022/SRR31465422/SRR31465422_2.fastq.gz	22309595;26277626	61_S61_L001
SRR31465423	SAMN45004378	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/023/SRR31465423/SRR31465423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/023/SRR31465423/SRR31465423_2.fastq.gz	23395919;26199360	7_S7_L001
SRR31465425	SAMN45004430	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/025/SRR31465425/SRR31465425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/025/SRR31465425/SRR31465425_2.fastq.gz	24393826;28672557	59_S59_L001
SRR31465427	SAMN45004428	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/027/SRR31465427/SRR31465427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/027/SRR31465427/SRR31465427_2.fastq.gz	26769950;32039555	57_S57_L001
SRR31465429	SAMN45004426	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/029/SRR31465429/SRR31465429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/029/SRR31465429/SRR31465429_2.fastq.gz	22588194;26143044	55_S55_L001
SRR31465432	SAMN45004423	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/032/SRR31465432/SRR31465432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/032/SRR31465432/SRR31465432_2.fastq.gz	27999926;33131772	52_S52_L001
SRR31465434	SAMN45004377	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/034/SRR31465434/SRR31465434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/034/SRR31465434/SRR31465434_2.fastq.gz	23944779;27671174	6_S6_L001
SRR31465442	SAMN45004414	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/042/SRR31465442/SRR31465442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/042/SRR31465442/SRR31465442_2.fastq.gz	17773618;20399167	43_S43_L001
SRR31465453	SAMN45004404	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/053/SRR31465453/SRR31465453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/053/SRR31465453/SRR31465453_2.fastq.gz	29740639;33596765	33_S33_L001
SRR31465454	SAMN45004403	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/054/SRR31465454/SRR31465454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/054/SRR31465454/SRR31465454_2.fastq.gz	24531467;28950923	32_S32_L001
SRR31465455	SAMN45004402	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/055/SRR31465455/SRR31465455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/055/SRR31465455/SRR31465455_2.fastq.gz	27977927;31052502	31_S31_L001
SRR31465461	SAMN45004397	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/061/SRR31465461/SRR31465461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/061/SRR31465461/SRR31465461_2.fastq.gz	21334270;24597336	26_S26_L001
SRR31465462	SAMN45004396	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/062/SRR31465462/SRR31465462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/062/SRR31465462/SRR31465462_2.fastq.gz	29318882;32927409	25_S25_L001
SRR31465463	SAMN45004395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/063/SRR31465463/SRR31465463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/063/SRR31465463/SRR31465463_2.fastq.gz	29711103;32964859	24_S24_L001
SRR31465465	SAMN45004393	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/065/SRR31465465/SRR31465465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/065/SRR31465465/SRR31465465_2.fastq.gz	20498324;22406006	22_S22_L001
SRR31465468	SAMN45004391	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/068/SRR31465468/SRR31465468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/068/SRR31465468/SRR31465468_2.fastq.gz	21313762;23550140	20_S20_L001
SRR31465470	SAMN45004389	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/070/SRR31465470/SRR31465470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/070/SRR31465470/SRR31465470_2.fastq.gz	25366148;28749653	18_S18_L001
SRR31465472	SAMN45004387	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/072/SRR31465472/SRR31465472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/072/SRR31465472/SRR31465472_2.fastq.gz	29482436;32865541	16_S16_L001
SRR31465473	SAMN45004386	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/073/SRR31465473/SRR31465473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/073/SRR31465473/SRR31465473_2.fastq.gz	23781792;25590220	15_S15_L001
SRR31465475	SAMN45004384	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/075/SRR31465475/SRR31465475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/075/SRR31465475/SRR31465475_2.fastq.gz	28702021;31519445	13_S13_L001
SRR31465477	SAMN45004382	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/077/SRR31465477/SRR31465477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/077/SRR31465477/SRR31465477_2.fastq.gz	27926346;31278894	11_S11_L001
SRR31465478	SAMN45004373	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/078/SRR31465478/SRR31465478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/078/SRR31465478/SRR31465478_2.fastq.gz	1826381;2044298	2_pskin23_L001
SRR31465479	SAMN45004372	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/079/SRR31465479/SRR31465479_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/079/SRR31465479/SRR31465479_2.fastq.gz	263549;260283	1_pskin26
SRR31465480	SAMN45004464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/080/SRR31465480/SRR31465480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/080/SRR31465480/SRR31465480_2.fastq.gz	35775694;39154569	93_S93_L001
SRR31465482	SAMN45004462	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/082/SRR31465482/SRR31465482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/082/SRR31465482/SRR31465482_2.fastq.gz	28585853;31181037	91_S91_L001
