run_accession	sample_accession	sample_title	library_name	collection_date	country
SRR31465468	SAMN45004391	MIMARKS Survey related sample from metagenome	20_S20_L001	2021-03-01	Hungary
SRR31465470	SAMN45004389	MIMARKS Survey related sample from metagenome	18_S18_L001	2021-12-19	Hungary
SRR31465472	SAMN45004387	MIMARKS Survey related sample from metagenome	16_S16_L001	2021-12-08	Hungary
SRR31465473	SAMN45004386	MIMARKS Survey related sample from metagenome	15_S15_L001	2021-12-07	Hungary
SRR31465475	SAMN45004384	MIMARKS Survey related sample from metagenome	13_S13_L001	2021-11-04	Hungary
SRR31465477	SAMN45004382	MIMARKS Survey related sample from metagenome	11_S11_L001	2021-10-11	Hungary
SRR31465478	SAMN45004373	MIMARKS Survey related sample from metagenome	2_pskin23_L001	2021-03-01	Hungary
SRR31465479	SAMN45004372	MIMARKS Survey related sample from metagenome	1_pskin26	2021-02-26	Hungary
SRR31465480	SAMN45004464	MIMARKS Survey related sample from metagenome	93_S93_L001	2021-11-23	Hungary
SRR31465482	SAMN45004462	MIMARKS Survey related sample from metagenome	91_S91_L001	2021-08-21	Hungary
SRR31465483	SAMN45004381	MIMARKS Survey related sample from metagenome	10_S10_L001	2021-09-22	Hungary
SRR31465487	SAMN45004458	MIMARKS Survey related sample from metagenome	87_S87_L001	2021-03-17	Hungary
SRR31465491	SAMN45004454	MIMARKS Survey related sample from metagenome	83_S83_L001	2021-08-21	Hungary
SRR31465496	SAMN45004450	MIMARKS Survey related sample from metagenome	79_S79_L001	2021-03-17	Hungary
SRR31465499	SAMN45004447	MIMARKS Survey related sample from metagenome	76_S76_L001	2021-11-19	Hungary
SRR31465501	SAMN45004445	MIMARKS Survey related sample from metagenome	74_S74_L001	2021-07-21	Hungary
SRR31465503	SAMN45004443	MIMARKS Survey related sample from metagenome	72_S72_L001	2021-03-19	Hungary
SRR31465505	SAMN45004379	MIMARKS Survey related sample from metagenome	8_S8_L001	2021-08-03	Hungary
SRR31465506	SAMN45004441	MIMARKS Survey related sample from metagenome	70_S70_L001	2021-03-15	Hungary
SRR31465507	SAMN45004440	MIMARKS Survey related sample from metagenome	69_S69_L001	2021-12-12	Hungary
