Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TRIB2	1848.22	915.324	262.804	1138.06	2278.45	2377.36	275.835	5890.34	839.93	754.156	1307.78	1049.52	123.032	152.139	71.3046	22.3637	255.21	126.818	1949.19	1394.87	311.653	155.899
TRPM4	7.69125	6.19938	63.7178	7.79676	17.9812	9.46357	9.52016	11.6232	6.76116	8.48673	7.44365	7.70255	18.3611	14.4041	248.638	237.248	28.5529	34.8833	16.8348	16.0288	22.6894	10.221
TRPM6	45.9225	35.631	64.5505	25.7672	16.8672	31.1039	63.7902	32.9238	19.9464	59.1506	22.1078	30.9959	35.6964	27.7197	22.7765	16.0454	21.8329	33.4403	20.6407	17.971	515.176	220.431
TSHR	19.8156	17.2645	95.3504	11.6465	11.3452	13.7168	7.64466	236.301	11.8908	15.2859	20.1578	12.7547	14.2934	15.6007	9.44212	7.80832	19.7987	22.629	20.5911	9.98015	17.6117	18.3843
TTC38	24.8504	25.0337	39.6473	374.209	118.004	26.4983	57.4174	172.233	43.286	427.662	2894.46	662.143	105.646	91.9991	437.361	328.982	95.2943	143.959	458.421	370.591	155.207	47.0571
TXK	309.77	195.384	85.8232	676.059	1384.39	426.315	175.384	206.763	166.368	319.037	1564.53	2015.56	62.9699	64.0096	86.8421	154.357	82.3979	85.1599	173.705	201.212	201.217	173.973
TYR	15.4917	15.243	15.0813	10.6271	44.3821	197.088	37.4502	6.81844	1778.51	304.555	71.9986	51.1786	14.068	36.3142	25.0292	31.8018	32.7314	12.3135	142.767	104.465	13.1384	150.834
UBASH3A	10.126	12.7026	8.08761	876.38	2177.79	714.94	203.078	935.01	1376.32	319.094	6.03837	8.53329	6.10514	4.993	8.79552	8.19555	4.84123	5.67717	13.698	17.9432	59.1375	10.0996
UGT1A8	680.53	471.193	163.901	82.1382	98.5201	123.328	101.446	93.5038	450.365	462.51	78.1338	85.3184	91.5068	96.134	55.5123	55.0428	85.8252	54.2469	63.8697	59.0306	97.1547	336.42
UGT2B17	29.4602	12.6982	309.882	3.97605	5.04978	5.59882	4.54161	7.81977	8.39783	10.1392	4.74327	6.48248	7.24435	6.40897	7.74816	7.39507	6.87195	9.05611	5.2485	5.64228	9.00115	8.79156
UPK3A	15.1818	14.6168	17.2585	10.9786	13.1523	13.6444	20.1847	10.9101	20.9332	16.6169	10.884	9.96124	215.872	12.1242	6.81844	7.60682	10.6016	15.1011	10.7435	15.4131	25.6275	18.5431
VILL	29.5222	34.5926	53.8649	434.224	693.166	500.122	32.8544	445.357	38.8564	209.251	215.541	39.8394	97.7812	43.0669	305.409	129.913	21.0868	20.966	102.497	138.145	23.6613	20.8841
VNN1	22.9584	21.9247	16.7111	12.2666	29.0739	11.4982	6.8817	4.55671	50.6013	119.894	62.5796	27.0878	1024.7	924.737	12.2811	120.64	158.59	37.6037	68.021	40.7536	64.4887	894.856
VNN2	64.9846	79.6811	51.0458	445.484	574.733	87.4389	7.68056	183.181	81.2513	1027.32	600.763	133.983	3300.12	462.812	6.19852	8.2558	6.33332	7.3391	242.318	17.9884	9.75316	18515.4
VNN3	30.93	32.2966	10.573	13.0786	58.3332	28.5473	26.895	36.4152	85.4262	38.7216	22.0832	44.5319	187.6	28.6518	70.9679	60.5095	19.0357	20.433	47.3606	42.1964	79.9426	2232.47
VPREB3	3778.57	2591.6	404.257	89.6956	38.116	166.122	154.182	86.9994	335.226	155.103	126.737	114.279	136.16	88.9725	156.426	111.698	91.9979	129.471	73.2632	68.4719	89.8696	157.957
WNT5B	11.751	11.1454	48.9577	10.6188	6.81844	8.39361	9.27233	17.9812	11.6469	10.984	6.09859	9.78903	15.9784	11.9378	11.1695	533.284	99.7739	132.765	23.5948	13.463	12.3888	15.9535
WNT7A	12.8602	17.5393	20.3328	101.409	230.762	87.4	46.54	100.097	51.7057	34.5707	11.0971	13.7932	56.253	20.2757	23.3413	10.3439	17.5221	28.44	21.1263	16.1428	57.1673	21.3423
